time,torso,rhip,lhip,rknee,lknee,rankle,lankle,rmtp,lmtp,rshoulder,lshoulder,relbow,lelbow,vcmx,vcmy
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,m/s,m/s
0.01,82.38640760113485,152.4656652983545,149.54135936098055,42.147791044210535,154.6770522544699,128.79498525968467,112.55640633217116,136.44490438299056,512.8135148148374,-12.273702097636885,-11.623559341950752,254.87986789141132,253.52120643428228,9.608531376458716,-0.6553090371465885
0.011,82.36307076929052,151.6427596010493,149.94838008884423,41.74365929179898,154.34250163081649,128.56119579985125,111.69345533711187,136.4790226546258,513.4809729865157,-12.91652608314827,-11.007493090085688,254.8576633330643,253.48432435348582,9.6041726645156,-0.6418682205511964
0.012,82.33925606500898,150.814809482236,150.34888271686907,41.35737486319614,153.99072923131456,128.32805344853136,110.83664222608719,136.51143408313843,514.0865488095434,-13.56214111907002,-10.38850665262045,254.84719254007612,253.45021916879307,9.600296038298499,-0.6270537972098839
0.013,82.31498424532379,149.9819957119953,150.74250051758588,40.9892471653195,153.62220121384246,128.09570202189326,109.99002668634577,136.54206546907926,514.6285595703305,-14.210353219743723,-9.766911109285644,254.84811078692826,253.41909063449853,9.596883725801373,-0.6108953296194269
0.014,82.29029135187946,149.14453929569723,151.1290091994034,40.63960455007967,153.23754504425955,127.86429601003339,109.15726548729693,136.57084551046853,515.1060887341383,-14.860965605476494,-9.143042626462275,254.86003309713072,253.39113481262444,9.593906437149698,-0.5934342204433675
0.015,82.26522906162566,148.3027024287726,151.508342253006,40.3087927164505,152.83755606719646,127.63399975393101,108.34157753431231,136.59770461738805,513.660486087802,-15.51377936637195,-8.517262055806555,254.8825367570298,253.36654300706792,9.591324518847399,-0.5747223203722759
0.016,82.23986447499675,147.45678797707114,151.8806020159277,39.9971723338097,152.42320190767043,127.40498721103057,107.54573444063121,136.6225751518253,514.0090242812746,-16.16859321355541,-7.889954412665688,254.91516249034453,253.34550161421555,9.58908958105422,-0.55482015985182
0.017,82.21427960997595,146.60713814449463,152.2460662995391,39.7051162108844,151.99562387269435,127.17744181210372,106.7720708562003,136.64539249995764,514.2941735980505,-16.825202533545237,-7.261528247752835,254.9574146330635,253.3281924739323,9.58714650280688,-0.5337949744978221
0.018,82.18857092616112,145.75413303831294,152.60519090263278,39.43300634153208,151.5561347736542,126.95155594596585,106.02250820344679,136.6660972071158,514.5172615186648,-17.483398203354838,-6.6324149901429905,255.00876099842608,253.31479333599395,9.585435674363332,-0.5117187139175178
0.019,82.16284910105087,144.89818964057218,152.95860844990744,39.18123105110142,151.10621286680504,126.72752980766876,105.29858697541678,136.68463803780827,514.6799595457434,-18.142965671066577,-6.003068371744959,255.06863314946804,253.30547825528222,9.583895323090713,-0.48866621420035433
0.02,82.13723906146889,144.03976130021437,153.30712382289582,38.95018226231521,150.64749181812948,126.50556958927606,104.60150440995851,136.70097537293256,514.7842176680598,-18.8036846262562,-5.373963970538924,255.13642757152235,253.30041791583994,9.582463785983071,-0.46471367199342417
0.021,82.11188005141744,143.17933742525645,153.65170622352736,38.740252681265844,150.1817467963112,126.28588517892955,103.93215495647812,136.71508406021005,514.8322025199798,-19.465329263988806,-4.7455987668666495,255.21150789905698,253.29977996083306,9.581081624671228,-0.4399374925156196
0.022,82.08692543728063,142.3174428230045,153.99347790904483,38.551832600624806,149.7108770616273,126.06868765225536,103.29117070629496,136.72695487579222,514.8262367030612,-20.127668892813375,-4.118490510636164,255.29320804439868,253.30372935601713,9.57969350702543,-0.4144135193178108
0.023,82.06254203741663,141.45463614581732,154.33369976690898,38.38530604863821,149.2368856370657,125.85418684063542,102.67895900242401,136.73659417067492,514.7687415802936,-20.79046857357639,-3.4931766767540893,255.380835941854,253.31242868624156,9.578249795023446,-0.38821660489348353
0.024,82.03890896066689,140.59150713948458,154.6737541198957,38.24104617564578,148.7618568527556,125.64258915723127,102.09573533048912,136.74402192059225,514.6621879449857,-21.453489627099216,-2.8702128616268965,255.47367769069172,253.32603820412652,9.576707795140141,-0.3614204487619478
0.025,82.0162161328602,139.72867276212023,155.01512536462832,38.1194099900612,148.2879327039497,125.43409565538286,101.54155128655191,136.749269006844,514.509056984473,-22.116490113299406,-2.2501706075420884,255.57100207537474,253.34471547754822,9.575032658838028,-0.33409760801788646
0.026,81.99466275328746,138.86677254291243,155.35937905593389,38.02073271404099,147.81728882327891,125.22890001585783,101.01631881790838,136.75237487451892,514.3118103718053,-22.77922556483732,-1.633634746035824,255.67206560346517,253.36861459961173,9.573197954307071,-0.306319588018675
0.027,81.97445582438347,138.0064636643625,155.70813985126787,37.945322081778684,147.35211044682086,125.0271859713261,100.51983221314491,136.75338660434718,514.0728660795403,-23.441450244822946,-1.0212003643694914,255.7761182239694,253.39788507661342,9.571185949170706,-0.27815694925222567
0.028,81.95580871966776,137.14841618180174,156.06306845412644,37.89345283923117,146.8945683051803,124.8291237267571,100.05178886324721,136.75235991649402,513.7945765258614,-24.102919021853594,-0.41346942644396734,255.88240977406048,253.43267061379555,9.568987644454147,-0.24967940362168145
0.029,81.93893960637496,136.2933085644675,156.42583741585807,37.86536157393432,146.44679406813202,124.63486522498883,99.61180924443786,136.74936188003255,513.4792074848697,-24.763389730958338,0.18895303063122526,255.9901970595783,253.4731080209507,9.566602581547691,-0.220955903428651
0.03,81.9240695167334,135.44182351821388,156.79810562208917,37.861241897233086,146.01085503360193,124.44453854987508,99.19945620650627,136.74447439577966,513.1289182581883,-25.422625758862267,0.7854632455903356,256.09875139946433,253.51932640381318,9.564038426678586,-0.19205472607574567
0.031,81.91141997689003,134.59464395098874,157.18149157495208,37.88123998221765,145.58872814545236,124.25824211619829,98.81425352222271,136.73779715108344,512.7457446752635,-26.08039860426311,1.3754636636303417,256.2073664671138,253.5714467247799,9.561310336569711,-0.16304353084182208
0.032,81.90121027955487,133.7524490093406,157.5775460330132,37.92545051380901,145.1822739293664,124.07603937303506,98.45570352038891,136.7294489010058,512.3315863491326,-26.7364902661009,1.9583683122661313,256.31536628188974,253.62958172094721,9.558440123007772,-0.13398934360236325
0.033,81.89365462372187,132.91591027825712,157.98772504171745,37.99391319520933,144.79321145514683,123.89795452983034,98.12330344987843,136.71956658590386,511.8881987322958,-27.390695412672073,2.533608322659461,256.4221131691144,253.69383610026483,9.55545524927535,-0.10495842870394897
0.034,81.88895938433917,132.08568837924628,158.4133647491468,38.086610009275006,144.42309589794507,123.72396944127415,97.81656036948308,136.7083026799939,511.417189321657,-28.042823329131977,3.100637219826737,256.5270154209192,253.764306909171,9.552387700845026,-0.07601602498735101
0.035,81.8873207110812,131.26243021815486,158.85565950418413,38.203463411369114,144.0733005049733,123.5540214921437,97.5350048993581,136.69582183492162,510.9200163627587,-28.692699627171024,3.658935642430208,256.6295343318146,253.8410839864507,9.549272769868606,-0.04722593558191419
0.036,81.88892253454807,130.44676699585713,159.31564451235747,38.344335528643114,143.74500460327226,123.38800227650695,97.27820463619169,136.68229794407782,510.3979881895185,-29.34016765894259,4.208015269854727,256.7291903109326,253.92425049470216,9.546147786914913,-0.018649960962353905
0.037,81.89393494694365,129.6393128843938,159.79418377202813,38.5090283173231,143.43918858525944,123.22575709722322,97.04577797963098,136.6679121290661,509.85226202580355,-29.98508955022824,4.747421872808147,256.82556788311274,254.01388359059328,9.543050835849725,0.009652832159069301
0.038,81.90251286973914,128.84066412459572,160.29196331770777,38.69728457495157,143.15663582325234,123.06708568358684,96.83740851940784,136.65285118193253,509.28384231548364,-30.62734676693715,5.276737505946173,256.9183195066398,254.11005530478246,9.54001949738747,0.03762698669995218
0.039,81.91479492639643,128.05139828765863,160.80948922802108,38.908789736480514,142.89794062704453,122.91174473240815,96.65285937402,136.6373052819649,508.6935798054551,-31.266840159281102,5.795581914366636,257.0071681953741,254.21283363896657,9.537089682279179,0.06522160284787616
