time,hip_angle,knee_angle,ankle_angle,mtp_angle
s,deg,deg,deg,deg
0.133,105.4589,110.564,119.2806,131.0969
0.134,105.7185,111.7342,119.2687,131.0311
0.135,105.9896,112.9082,119.2538,130.9675
0.136,106.2718,114.0851,119.2355,130.9066
0.137,106.5649,115.2641,119.2136,130.8486
0.138,106.8684,116.4441,119.188,130.794
0.139,107.1819,117.6243,119.1586,130.7428
0.14,107.5051,118.8038,119.1252,130.6954
0.141,107.8376,119.9816,119.0878,130.6517
0.142,108.1788,121.1568,119.0464,130.6117
0.143,108.5284,122.3285,119.0012,130.5755
0.144,108.886,123.4958,118.9523,130.5429
0.145,109.2512,124.6579,118.8999,130.5137
0.146,109.6235,125.8138,118.8444,130.4876
0.147,110.0026,126.9627,118.7861,130.4644
0.148,110.388,128.1039,118.7254,130.4437
0.149,110.7794,129.2365,118.6629,130.4252
0.15,111.1765,130.3598,118.599,130.4085
0.151,111.5788,131.4731,118.5345,130.3932
0.152,111.9861,132.5756,118.4699,130.3788
0.153,112.398,133.6667,118.406,130.365
0.154,112.8142,134.7457,118.3434,130.3512
0.155,113.2344,135.812,118.283,130.337
0.156,113.6583,136.8649,118.2253,130.3222
0.157,114.0857,137.9038,118.1713,130.3064
0.158,114.5162,138.9281,118.1215,130.2892
0.159,114.9496,139.9372,118.0767,130.2706
0.16,115.3856,140.9306,118.0375,130.2504
0.161,115.8239,141.9076,118.0043,130.2285
0.162,116.2643,142.8675,117.9777,130.205
0.163,116.7064,143.81,117.9581,130.1799
0.164,117.1501,144.7342,117.9458,130.1535
0.165,117.5949,145.6398,117.941,130.126
0.166,118.0407,146.5259,117.9438,130.0975
0.167,118.487,147.3921,117.9542,130.0685
0.168,118.9336,148.2378,117.9722,130.0391
0.169,119.3802,149.0623,117.9977,130.0097
0.17,119.8265,149.865,118.0303,129.9806
0.171,120.272,150.6454,118.0699,129.952
0.172,120.7164,151.4028,118.116,129.9243
0.173,121.1595,152.1368,118.1682,129.8976
0.174,121.6008,152.8466,118.2262,129.8721
0.175,122.04,153.5319,118.2893,129.8479
0.176,122.4767,154.192,118.3572,129.825
0.177,122.9105,154.8264,118.4294,129.8035
0.178,123.3412,155.4346,118.5053,129.7832
0.179,123.7683,156.0163,118.5846,129.764
0.18,124.1914,156.5709,118.6667,129.7458
0.181,124.6104,157.0981,118.7515,129.7283
0.182,125.0247,157.5976,118.8385,129.7112
0.183,125.4342,158.0689,118.9274,129.6943
0.184,125.8385,158.512,119.0182,129.6772
0.185,126.2374,158.9266,119.1106,129.6595
0.186,126.6307,159.3126,119.2045,129.6409
0.187,127.018,159.6698,119.2998,129.6211
0.188,127.3992,159.9983,119.3966,129.5997
0.189,127.7741,160.2981,119.4949,129.5764
0.19,128.1427,160.5692,119.5947,129.5509
0.191,128.5047,160.8119,119.6959,129.523
0.192,128.8601,161.0263,119.7988,129.4923
0.193,129.2089,161.2127,119.9033,129.4588
0.194,129.551,161.3715,120.0095,129.4221
0.195,129.8864,161.503,120.1175,129.3822
0.196,130.2153,161.6078,120.2273,129.3389
0.197,130.5376,161.6863,120.3389,129.2922
0.198,130.8536,161.7393,120.4523,129.2421
0.199,131.1635,161.7673,120.5675,129.1886
0.2,131.4674,161.7711,120.6845,129.1319
0.201,131.7656,161.7516,120.8032,129.072
0.202,132.0584,161.7096,120.9236,129.0094
0.203,132.3462,161.6461,121.0455,128.9444
0.204,132.6293,161.5622,121.1688,128.8775
0.205,132.9083,161.459,121.2933,128.8095
0.206,133.1835,161.3376,121.4188,128.741
0.207,133.4554,161.1993,121.5451,128.6732
0.208,133.7247,161.0453,121.6719,128.6072
0.209,133.9919,160.877,121.7988,128.5443
0.21,134.2576,160.6959,121.9254,128.486
0.211,134.5224,160.5032,122.0513,128.4341
0.212,134.7871,160.3005,122.1758,128.3907
0.213,135.0523,160.0892,122.2983,128.3577
0.214,135.3187,159.8709,122.418,128.3377
0.215,135.587,159.6469,122.5341,128.3332
0.216,135.8579,159.4188,122.6455,128.347
0.217,136.1322,159.1879,122.7512,128.382
0.218,136.4104,158.9557,122.8499,128.4413
0.219,136.6932,158.7234,122.9402,128.5282
0.22,136.9814,158.4923,123.0205,128.6459
0.221,137.2754,158.2636,123.0893,128.798
0.222,137.5758,158.0382,123.1447,128.9878
0.223,137.883,157.8172,123.1849,129.2188
0.224,138.1976,157.6013,123.2077,129.4941
0.225,138.5199,157.3912,123.2112,129.8171
0.226,138.8502,157.1874,123.193,130.1904
0.227,139.1885,156.9901,123.1509,130.6168
0.228,139.5352,156.7997,123.0827,131.0983
0.229,139.8901,156.616,122.9861,131.6365
0.23,140.2532,156.4389,122.8589,132.2323
0.231,140.6243,156.268,122.699,132.8855
0.232,141.0031,156.1028,122.5044,133.5953
0.233,141.3893,155.9427,122.2735,134.3595
0.234,141.7824,155.7866,122.005,135.1745
0.235,142.1818,155.6338,121.6979,136.0356
0.236,142.5868,155.4831,121.3517,136.9368
0.237,142.9967,155.3333,120.9664,137.8708
0.238,143.4107,155.1833,120.5426,138.8298
0.239,143.8279,155.0317,120.0814,139.8056
0.24,144.2474,154.8774,119.5846,140.7896
0.241,144.6681,154.719,119.0543,141.7738
0.242,145.089,154.5554,118.4932,142.7502
0.243,145.5092,154.3854,117.9042,143.7112
0.244,145.9275,154.2078,117.2906,144.6496
0.245,146.343,154.0217,116.6561,145.5587
0.246,146.7547,153.826,116.0042,146.4318
0.247,147.1616,153.6198,115.339,147.2632
0.248,147.5628,153.4022,114.664,148.0473
0.249,147.9575,153.1726,113.9833,148.7795
0.25,148.3451,152.9301,113.3004,149.456
0.251,148.725,152.6743,112.6187,150.0737
0.252,149.0966,152.4047,111.9416,150.6306
0.253,149.4596,152.121,111.2717,151.1253
0.254,149.8139,151.8228,110.6115,151.5574
0.255,150.1595,151.5102,109.9632,151.9271
0.256,150.4964,151.183,109.3285,152.235
0.257,150.825,150.8415,108.7086,152.4824
0.258,151.1457,150.4859,108.1046,152.6709
0.259,151.4591,150.1165,107.5173,152.8022
0.26,151.7659,149.7339,106.947,152.8785
0.261,152.0671,149.3387,106.3939,152.902
0.262,152.3637,148.9317,105.8581,152.8752
0.263,152.6568,148.5137,105.3395,152.8005
0.264,152.9477,148.0859,104.8379,152.6804
0.265,153.2378,147.6496,104.3529,152.5175
0.266,153.5285,147.206,103.8843,152.3141
0.267,153.8215,146.7568,103.4317,152.0727
0.268,154.1182,146.3034,102.9947,151.7956
0.269,154.4205,145.8478,102.5732,151.4848
0.27,154.7298,145.3916,102.1668,151.1423
0.271,155.0479,144.9369,101.7755,150.7699
0.272,155.3765,144.4855,101.3993,150.3692
0.273,155.7169,144.0395,101.0382,149.9415
0.274,156.0708,143.6008,100.6924,149.488
0.275,156.4396,143.1713,100.3623,149.0098
