485,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.058,85.96576,80.53534,113.0823,171.6696,46.64994,142.527,120.1848,98.19355,136.3635,135.4715
0.059,86.05501,80.63745,112.582,172.5089,47.21142,142.7382,120.0399,98.61086,136.3462,134.4706
0.06,86.14363,80.74635,112.1018,173.3592,47.78442,142.9725,119.8955,99.07148,136.3274,133.4503
0.061,86.23139,80.86184,111.6415,174.2197,48.36847,143.2302,119.7519,99.57674,136.3066,132.4115
0.062,86.31807,80.98367,111.2009,175.0897,48.96315,143.5111,119.6097,100.1278,136.2837,131.3555
0.063,86.40346,81.11157,110.7799,175.9681,49.56805,143.8154,119.4694,100.7258,136.2583,130.2839
0.064,86.48736,81.24521,110.378,176.8542,50.1828,144.1431,119.3314,101.3715,136.2301,129.1986
0.065,86.56958,81.38427,109.9949,177.7471,50.80703,144.494,119.1964,102.0657,136.1989,128.1016
0.066,86.64995,81.52836,109.6301,178.6459,51.44042,144.8678,119.065,102.8088,136.1642,126.9956
0.067,86.7283,81.67709,109.283,179.5496,52.08267,145.2643,118.9377,103.6009,136.1257,125.8834
0.068,86.80446,81.83005,108.9531,180.4573,52.73347,145.683,118.8153,104.4421,136.0831,124.7684
0.069,86.87827,81.98679,108.6398,181.368,53.39257,146.1232,118.6982,105.332,136.036,123.6542
0.07,86.9496,82.14687,108.3424,182.2807,54.05969,146.5841,118.5872,106.2698,135.9843,122.5449
0.071,87.01828,82.30982,108.0602,183.1944,54.7346,147.0649,118.4826,107.2548,135.9275,121.4448
0.072,87.08418,82.47515,107.7926,184.108,55.41707,147.5644,118.3851,108.2856,135.8655,120.3589
0.073,87.14716,82.64237,107.5387,185.0204,56.10687,148.0812,118.2951,109.3607,135.7981,119.2922
0.074,87.20708,82.81098,107.2979,185.9304,56.80379,148.614,118.213,110.4782,135.7252,118.2503
0.075,87.26381,82.98047,107.0693,186.837,57.50764,149.1611,118.1392,111.6361,135.6468,117.2393
0.076,87.31723,83.15033,106.8522,187.7387,58.21823,149.7207,118.0739,112.8318,135.563,116.2653
0.077,87.3672,83.32005,106.6459,188.6346,58.93538,150.2911,118.0175,114.0626,135.474,115.335
0.078,87.41361,83.4891,106.4495,189.5232,59.65893,150.87,117.97,115.3256,135.38,114.4554
0.079,87.45636,83.65698,106.2623,190.4033,60.3887,151.4554,117.9315,116.6176,135.2814,113.6337
0.08,87.49536,83.82317,106.0836,191.2736,61.12456,152.045,117.9019,117.935,135.1786,112.8775
0.081,87.53051,83.98719,105.9127,192.133,61.86637,152.6365,117.8813,119.2741,135.0722,112.1942
0.082,87.56177,84.14855,105.7488,192.98,62.61398,153.2276,117.8692,120.631,134.9626,111.5918
0.083,87.58909,84.30677,105.5914,193.8135,63.36729,153.8159,117.8656,122.0018,134.8505,111.078
0.084,87.61243,84.46142,105.4399,194.6324,64.12619,154.3989,117.8699,123.3821,134.7364,110.6603
0.085,87.63181,84.61205,105.2938,195.4353,64.89061,154.9742,117.882,124.7677,134.6208,110.3461
0.086,87.64724,84.75826,105.1525,196.2214,65.66048,155.5394,117.9013,126.1542,134.5043,110.1423
0.087,87.65877,84.89967,105.0156,196.9894,66.43576,156.0923,117.9273,127.5371,134.3875,110.055
0.088,87.66648,85.03593,104.8828,197.7384,67.21644,156.6304,117.9595,128.9121,134.2708,110.0896
0.089,87.67047,85.1667,104.7537,198.4675,68.00253,157.1517,117.9974,130.2748,134.1548,110.2502
0.09,87.67086,85.2917,104.6281,199.1759,68.79404,157.6538,118.0403,131.621,134.0399,110.5393
0.091,87.66781,85.41066,104.5058,199.8628,69.59104,158.1348,118.0876,132.9464,133.9268,110.958
0.092,87.6615,85.52334,104.3866,200.5275,70.39362,158.5928,118.1386,134.247,133.8158,111.505
0.093,87.65212,85.62955,104.2706,201.1694,71.20186,159.0257,118.1928,135.5191,133.7073,112.1771
0.094,87.63989,85.7291,104.1576,201.7881,72.0159,159.432,118.2493,136.7588,133.6019,112.9684
0.095,87.62506,85.82187,104.0476,202.383,72.8359,159.8099,118.3077,137.9627,133.4999,113.8709
0.096,87.60787,85.90774,103.9409,202.9538,73.66204,160.1579,118.3671,139.1276,133.4017,114.8737
0.097,87.58859,85.98664,103.8375,203.5001,74.49451,160.4745,118.4271,140.2505,133.3074,115.964
0.098,87.56749,86.05853,103.7376,204.0217,75.33354,160.7583,118.4869,141.3286,133.2175,117.1268
0.099,87.54483,86.12339,103.6415,204.5185,76.17938,161.0081,118.5462,142.3594,133.1319,118.3458
0.1,87.5209,86.18123,103.5493,204.9903,77.03229,161.2227,118.6043,143.3409,133.0509,119.6037
0.101,87.49597,86.23211,103.4616,205.437,77.89254,161.401,118.6608,144.271,132.9743,120.8832
0.102,87.47029,86.27608,103.3786,205.8587,78.76043,161.5421,118.7154,145.1483,132.9022,122.1676
0.103,87.44412,86.31326,103.3007,206.2553,79.63626,161.6452,118.7678,145.9713,132.8343,123.4413
0.104,87.4177,86.34376,103.2284,206.627,80.52034,161.7093,118.8175,146.739,132.7705,124.6908
0.105,87.39124,86.36772,103.1622,206.9738,81.41299,161.7339,118.8646,147.4507,132.7104,125.9049
0.106,87.36495,86.38532,103.1024,207.296,82.31453,161.7185,118.9087,148.106,132.6537,127.0747
0.107,87.339,86.39674,103.0497,207.5937,83.22526,161.6625,118.9499,148.7048,132.5999,128.1937
0.108,87.31356,86.40218,103.0046,207.8672,84.14551,161.5658,118.9881,149.2472,132.5487,129.2575
0.109,87.28875,86.40185,102.9675,208.1167,85.07557,161.4282,119.0234,149.7339,132.4996,130.2635
0.11,87.26469,86.39597,102.9391,208.3426,86.01572,161.2496,119.0558,150.1659,132.4521,131.2104
0.111,87.24146,86.38478,102.9197,208.5452,86.96623,161.0301,119.0854,150.5446,132.4056,132.098
0.112,87.21913,86.36849,102.9099,208.7248,87.92734,160.77,119.1124,150.8715,132.3597,132.9268
0.113,87.19774,86.34737,102.9101,208.8818,88.89926,160.4697,119.1369,151.1489,132.3138,133.6977
0.114,87.17732,86.32164,102.9209,209.0167,89.88216,160.1296,119.1591,151.3792,132.2676,134.4122
0.115,87.15786,86.29156,102.9426,209.1298,90.8762,159.7504,119.1791,151.5649,132.2206,135.0716
0.116,87.13936,86.25737,102.9755,209.2217,91.88148,159.3328,119.1972,151.7089,132.1724,135.6777
0.117,87.12178,86.21931,103.0202,209.2929,92.89806,158.8776,119.2134,151.8144,132.1227,136.2322
0.118,87.10508,86.17764,103.0768,209.3438,93.92597,158.3859,119.228,151.8844,132.0711,136.7371
0.119,87.08919,86.1326,103.1457,209.375,94.96518,157.8586,119.2412,151.9223,132.0175,137.1942
0.12,87.07405,86.08445,103.2271,209.3871,96.01562,157.2969,119.2529,151.9314,131.9618,137.6058
0.121,87.05956,86.03342,103.3211,209.3808,97.07717,156.702,119.2634,151.9149,131.9038,137.9741
0.122,87.04565,85.97977,103.428,209.3565,98.14966,156.0751,119.2727,151.8762,131.8436,138.3015
0.123,87.03221,85.92375,103.5479,209.3151,99.23286,155.4175,119.2807,151.8185,131.7812,138.5905
0.124,87.01914,85.8656,103.6808,209.2571,100.3265,154.7307,119.2877,151.7449,131.7169,138.8436
0.125,87.00634,85.80556,103.8269,209.1833,101.4302,154.016,119.2934,151.6585,131.6507,139.0636
0.126,86.99369,85.74389,103.986,209.0944,102.5436,153.2749,119.2978,151.562,131.583,139.253
0.127,86.98108,85.68081,104.1582,208.991,103.6662,152.5088,119.3008,151.4584,131.514,139.4144
0.128,86.96841,85.61656,104.3434,208.8739,104.7976,151.7191,119.3024,151.3501,131.4442,139.5501
0.129,86.95557,85.55138,104.5414,208.7439,105.9372,150.9074,119.3022,151.2397,131.3739,139.6626
0.13,86.94245,85.4855,104.7522,208.6016,107.0843,150.075,119.3002,151.1292,131.3035,139.754
0.131,86.92895,85.41914,104.9755,208.4478,108.2383,149.2234,119.2961,151.0207,131.2336,139.8263
0.132,86.91499,85.35253,105.2112,208.2833,109.3984,148.3539,119.2897,150.9161,131.1646,139.8812
0.133,86.90048,85.28589,105.4589,208.1087,110.564,147.468,119.2806,150.8167,131.0969,139.9206
0.134,86.88534,85.21941,105.7185,207.9248,111.7342,146.5669,119.2687,150.724,131.0311,139.9458
0.135,86.8695,85.15332,105.9896,207.7324,112.9082,145.6519,119.2538,150.6391,130.9675,139.9582
0.136,86.85289,85.08782,106.2718,207.5319,114.0851,144.7243,119.2355,150.5627,130.9066,139.9591
0.137,86.83547,85.0231,106.5649,207.3243,115.2641,143.7853,119.2136,150.4954,130.8486,139.9496
0.138,86.81719,84.95935,106.8684,207.1101,116.4441,142.836,119.188,150.4376,130.794,139.9308
0.139,86.798,84.89674,107.1819,206.89,117.6243,141.8774,119.1586,150.3895,130.7428,139.9035
0.14,86.7779,84.83546,107.5051,206.6646,118.8038,140.9107,119.1252,150.3509,130.6954,139.8687
0.141,86.75684,84.77566,107.8376,206.4345,119.9816,139.9367,119.0878,150.3217,130.6517,139.8274
0.142,86.73484,84.71751,108.1788,206.2002,121.1568,138.9563,119.0464,150.3012,130.6117,139.7804
0.143,86.71188,84.66113,108.5284,205.9624,122.3285,137.9705,119.0012,150.289,130.5755,139.7285
0.144,86.68797,84.60668,108.886,205.7214,123.4958,136.98,118.9523,150.2841,130.5429,139.6728
0.145,86.66312,84.55428,109.2512,205.4778,124.6579,135.9855,118.8999,150.2858,130.5137,139.6139
0.146,86.63737,84.50404,109.6235,205.2321,125.8138,134.9877,118.8444,150.2931,130.4876,139.5526
0.147,86.61075,84.45607,110.0026,204.9846,126.9627,133.9873,118.7861,150.3047,130.4644,139.4896
0.148,86.58328,84.41046,110.388,204.7357,128.1039,132.9847,118.7254,150.3198,130.4437,139.4257
